Capture_year,cluster,Species_Cat,Ring,"sex(0=male, 1=female)",BirthYear,MaleColourCapYear,Rainfall_BirthYear,Rainfall_CaptureYear,"MaleColourCat(0=B0, 1=B1-B3; 2=B4-B5)"
2005,C. parvulus,1,971SK,0,2004,0,799,804,0
2005,C. parvulus,1,902SK,0,2004,0,799,804,0
2010,C. parvulus,1,50SK,0,2009,0,657,828,0
2010,C. parvulus,1,2440SK,0,2009,0,657,828,0
2010,C. parvulus,1,2439SK,0,2009,0,657,828,0
2010,C. parvulus,1,2434SK,0,2009,0,657,828,0
2010,C. parvulus,1,2431SK,0,2009,0,657,828,0
2010,C. parvulus,1,2430SK,0,2009,0,657,828,0
2010,C. parvulus,1,1596SK,0,2009,0,657,828,0
2010,C. parvulus,1,1590SK,0,2009,0,657,828,0
2010,C. parvulus,1,1583SK,0,2009,0,657,828,0
2012,C. parvulus,1,019-57693,0,2011,0,2302,1559,0
2013,C. parvulus,1,3124SK,0,2012,0,1559,1055,0
2013,C. parvulus,1,3063SK,0,2012,0,1559,1055,0
2013,C. parvulus,1,3000SK,0,2012,0,1559,1055,0
2013,C. parvulus,1,1804SK,0,2012,0,1559,1055,0
2014,C. parvulus,1,3298SK,0,2013,0,1055,1016,0
2014,C. parvulus,1,3283SK,0,2013,0,1055,1016,0
2014,C. parvulus,1,3215SK,0,2013,0,1055,1016,0
2014,C. parvulus,1,3200SK,0,2013,0,1055,1016,0
2016,C. parvulus,1,3739SK,0,2015,0,1964,626,0
2016,C. parvulus,1,3596SK,0,2015,0,1964,626,0
2016,C. parvulus,1,3589SK,0,2015,0,1964,626,0
2005,C. pauper,2,910SK,0,2004,0,799,804,0
2006,C. pauper,2,1521SK,0,2005,0,804,805,0
2010,C. pauper,2,2444SK,0,2009,0,657,828,0
2012,C. pauper,2,025-72583,0,2011,0,2302,1559,0
2012,C. pauper,2,025-72582,0,2011,0,2302,1559,0
2012,C. pauper,2,019-58398,0,2011,0,2302,1559,0
2013,C. pauper,2,3085SK,0,2012,0,1559,1055,0
2013,C. pauper,2,3056SK,0,2012,0,1559,1055,0
2013,C. pauper,2,1849SK,0,2012,0,1559,1055,0
2014,C. pauper,2,3132SK,0,2013,0,1055,1016,0
2016,C. pauper,2,3623SK,0,2015,0,1964,626,0
2006,Hybrid,3,1555SK,0,2005,0,804,805,0
2012,Hybrid,3,025-72587,0,2011,0,2302,1559,0
2013,Hybrid,3,3068SK,0,2012,0,1559,1055,0
2013,Hybrid,3,3019SK,0,2012,0,1559,1055,0
2013,Hybrid,3,3016SK,0,2012,0,1559,1055,0
2013,Hybrid,3,1816SK,0,2012,0,1559,1055,0
2013,Hybrid,3,1802SK,0,2012,0,1559,1055,0
2013,Hybrid,3,1036SK,0,2012,0,1559,1055,0
2014,Hybrid,3,3278SK,0,2013,0,1055,1016,0
2014,Hybrid,3,3171SK,0,2013,0,1055,1016,0
2014,Hybrid,3,3107SK,0,2013,0,1055,1016,0
